GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3679	9.07e-07	1.22e-09	0.1868	-6.0781121	-1.13535192	218.36	ITGA7	integrin subunit alpha 7
132014	1.01e-06	1.43e-09	0.1903	-6.0519281	-1.15155503	1805.96	IL17RE	interleukin 17 receptor E
84679	2.57e-06	3.80e-09	0.2556	5.892583	1.50591936	507.47	SLC9A7	solute carrier family 9 member A7
23526	4.04e-06	6.25e-09	0.1512	-5.8100505	-0.8786123	1681.33	ARHGAP45	Rho GTPase activating protein 45
5366	6.63e-06	1.07e-08	0.1985	5.7194804	1.13556906	363.43	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
9235	7.77e-06	1.30e-08	0.1653	5.6859134	0.94006784	28060.54	IL32	interleukin 32
51088	1.18e-05	2.06e-08	0.2091	5.6072892	1.17240826	467	KLHL5	kelch like family member 5
115361	1.53e-05	2.75e-08	0.368	5.5563667	2.0446549	277.02	GBP4	guanylate binding protein 4
10906	1.85e-05	3.46e-08	0.146	5.5162519	0.80537408	1453.41	TRAFD1	TRAF-type zinc finger domain containing 1
5313	1.98e-05	3.96e-08	0.2475	-5.4927123	-1.35937289	146.7	PKLR	pyruvate kinase L/R
3918	1.98e-05	3.94e-08	0.2811	5.493338	1.54393151	63138.81	LAMC2	laminin subunit gamma 2
3685	3.32e-05	6.91e-08	0.2126	5.3936172	1.14653159	12025.53	ITGAV	integrin subunit alpha V
29121	3.32e-05	7.06e-08	0.4992	5.389738	2.69079161	203.26	CLEC2D	C-type lectin domain family 2 member D
6539	3.99e-05	8.73e-08	0.3436	5.3513062	1.83863569	355.18	SLC6A12	solute carrier family 6 member 12
4791	4.93e-05	1.11e-07	0.1519	5.3074969	0.80598118	6603.21	NFKB2	nuclear factor kappa B subunit 2
1628	7.08e-05	1.64e-07	0.251	-5.235786	-1.31408957	341.51	DBP	D-box binding PAR bZIP transcription factor
102725231	1.03e-04	2.51e-07	0.3004	5.1570818	1.54927122	86.07	LOC102725231	uncharacterized LOC102725231
3696	1.03e-04	2.52e-07	0.2157	5.1561769	1.11221256	6310.68	ITGB8	integrin subunit beta 8
2877	1.32e-04	3.48e-07	0.2039	5.0952873	1.03875727	11038.12	GPX2	glutathione peroxidase 2
57156	1.32e-04	3.38e-07	0.5298	-5.1011952	-2.70248713	48.93	TMEM63C	transmembrane protein 63C
105373098	1.32e-04	3.41e-07	0.4084	5.0994281	2.08254333	88.57	KLHDC7B-DT	KLHDC7B divergent transcript
51561	1.80e-04	4.86e-07	0.3816	5.0316185	1.91999694	53.68	IL23A	interleukin 23 subunit alpha
79961	2.21e-04	6.25e-07	0.1403	4.983306	0.69928919	1492.09	DENND2D	DENN domain containing 2D
124056	2.21e-04	6.27e-07	0.2571	4.982628	1.28099862	2069.14	NOXO1	NADPH oxidase organizer 1
9066	2.45e-04	7.10e-07	0.2102	4.9585842	1.04240683	371.75	SYT7	synaptotagmin 7
10874	2.46e-04	7.29e-07	0.34	-4.9533786	-1.68434016	97.33	NMU	neuromedin U
23475	2.50e-04	7.57e-07	0.2921	-4.9460534	-1.44483903	685.46	QPRT	quinolinate phosphoribosyltransferase
56938	3.70e-04	1.14e-06	0.1765	4.8651255	0.85854291	641.78	BMAL2	basic helix-loop-helix ARNT like 2
105373733	3.85e-04	1.21e-06	0.4607	4.8532044	2.23592415	40.06	LOC105373733	replaced by ID 105373734
102724608	3.86e-04	1.24e-06	0.4171	4.8486341	2.02251687	79.51	LOC102724608	uncharacterized LOC102724608
6776	4.10e-04	1.35e-06	0.1838	4.8327996	0.8881051	1881.57	STAT5A	signal transducer and activator of transcription 5A
2915	4.42e-04	1.48e-06	0.5799	4.8138567	2.79174423	20.39	GRM5	glutamate metabotropic receptor 5
100507463	4.44e-04	1.52e-06	0.1746	4.808887	0.83959851	557.95	PSMB8-AS1	PSMB8 antisense RNA 1 (head to head)
93185	4.50e-04	1.57e-06	0.15	-4.8025161	-0.72031458	2015.74	IGSF8	immunoglobulin superfamily member 8
199974	5.03e-04	1.79e-06	0.8133	4.7763429	3.88461478	11.7	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1
130589	5.03e-04	1.81e-06	0.2621	-4.7731178	-1.2511802	746.81	GALM	galactose mutarotase
89797	5.50e-04	2.02e-06	0.3131	4.7514596	1.48789524	330.68	NAV2	neuron navigator 2
26007	6.52e-04	2.44e-06	0.13	-4.7133964	-0.61264605	1190.17	TKFC	triokinase and FMN cyclase
9401	6.56e-04	2.49e-06	0.1994	-4.7086579	-0.93878462	181.31	RECQL4	RecQ like helicase 4
27124	6.72e-04	2.60e-06	0.1873	-4.7002028	-0.88052695	643.76	INPP5J	inositol polyphosphate-5-phosphatase J
388115	7.20e-04	2.83e-06	0.1409	4.682642	0.65971097	1281.39	CCDC9B	coiled-coil domain containing 9B
3383	7.28e-04	2.91e-06	0.4	4.6771909	1.87078363	8369.12	ICAM1	intercellular adhesion molecule 1
137970	8.01e-04	3.25e-06	0.5639	-4.6541903	-2.62433964	17.65	UNC5D	unc-5 netrin receptor D
7763	8.74e-04	3.66e-06	0.1313	4.6298305	0.60784384	6690.23	ZFAND5	zinc finger AN1-type containing 5
4900	8.74e-04	3.64e-06	0.3103	-4.6307767	-1.43684216	68.26	NRGN	neurogranin
5290	1.10e-03	4.69e-06	0.1211	4.5780708	0.55444709	580.63	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
246181	1.16e-03	5.01e-06	0.2866	-4.5643375	-1.30832447	119.29	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)
65072	1.20e-03	5.25e-06	0.1927	4.5546675	0.87776172	313.89	CFLAR-AS1	CFLAR antisense RNA 1
7067	1.23e-03	5.47e-06	0.1652	-4.5458884	-0.75110192	1015.24	THRA	thyroid hormone receptor alpha
3914	1.25e-03	5.65e-06	0.1516	4.5390885	0.68822521	27440.75	LAMB3	laminin subunit beta 3
55591	1.32e-03	6.02e-06	0.1568	4.5256198	0.70968119	2020.28	VEZT	vezatin, adherens junctions transmembrane protein
8824	1.34e-03	6.23e-06	0.1385	-4.5184701	-0.62560039	31544.69	CES2	carboxylesterase 2
50512	1.44e-03	6.80e-06	0.1905	-4.4999976	-0.85737569	350.08	PODXL2	podocalyxin like 2
23586	1.49e-03	7.12e-06	0.1455	4.4900505	0.65343515	646.86	RIGI	RNA sensor RIG-I
5266	1.56e-03	7.52e-06	0.4478	4.4785472	2.00551548	8985.35	PI3	peptidase inhibitor 3
55707	1.56e-03	7.64e-06	0.1374	4.4749351	0.61493472	2276.18	NECAP2	NECAP endocytosis associated 2
7128	1.75e-03	8.74e-06	0.274	4.446162	1.21831155	5204.49	TNFAIP3	TNF alpha induced protein 3
9028	1.75e-03	8.79e-06	0.2605	-4.4451009	-1.15797008	68.17	RHBDL1	rhomboid like 1
55809	1.75e-03	8.90e-06	0.3505	4.4422456	1.55682441	953.99	TRERF1	transcriptional regulating factor 1
6566	1.79e-03	9.25e-06	0.189	-4.4340437	-0.83824456	2624.88	SLC16A1	solute carrier family 16 member 1
115825	1.89e-03	9.87e-06	0.189	4.4199125	0.8353819	150.33	WDFY2	WD repeat and FYVE domain containing 2
4071	1.91e-03	1.01e-05	0.1541	4.4139893	0.68005953	15120.18	TM4SF1	transmembrane 4 L six family member 1
64081	1.91e-03	1.02e-05	0.26	-4.4121423	-1.14704252	1553.74	PBLD	phenazine biosynthesis like protein domain containing
56241	1.96e-03	1.06e-05	0.3958	-4.4047754	-1.74342092	175.85	SUSD2	sushi domain containing 2
8447	1.99e-03	1.09e-05	0.6008	4.3979928	2.64249831	32.43	DOC2B	double C2 domain beta
195814	2.33e-03	1.29e-05	0.2132	4.36135	0.92983763	1598.93	SDR16C5	short chain dehydrogenase/reductase family 16C member 5
92840	2.41e-03	1.35e-05	0.2804	-4.3518202	-1.22013272	1199.19	REEP6	receptor accessory protein 6
159195	2.49e-03	1.41e-05	0.1381	4.3423834	0.59965801	1847.1	USP54	ubiquitin specific peptidase 54
4690	2.52e-03	1.44e-05	0.1839	4.337269	0.79744551	1133.27	NCK1	NCK adaptor protein 1
5871	2.53e-03	1.47e-05	0.2628	-4.3338827	-1.13901507	167.69	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2
51513	2.58e-03	1.53e-05	0.194	4.3246594	0.83919085	270.64	ETV7	ETS variant transcription factor 7
57597	2.58e-03	1.55e-05	0.2331	-4.3215882	-1.00739608	335.72	BAHCC1	BAH domain and coiled-coil containing 1
6990	2.58e-03	1.53e-05	0.1459	4.32377	0.63092373	1272.25	DYNLT3	dynein light chain Tctex-type 3
6347	2.62e-03	1.59e-05	0.5745	4.316118	2.47962268	236.53	CCL2	C-C motif chemokine ligand 2
64135	2.71e-03	1.66e-05	0.1796	4.3061417	0.77357336	849.63	IFIH1	interferon induced with helicase C domain 1
1130	2.90e-03	1.79e-05	0.1478	4.2891328	0.63377358	880.12	LYST	lysosomal trafficking regulator
6890	2.93e-03	1.83e-05	0.1758	4.284894	0.75340857	5538.77	TAP1	transporter 1, ATP binding cassette subfamily B member
4792	2.97e-03	1.87e-05	0.2611	4.2794088	1.11725075	6793.19	NFKBIA	NFKB inhibitor alpha
9641	2.98e-03	1.90e-05	0.1659	4.276369	0.70965446	1259.14	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon
105379407	3.09e-03	2.01e-05	0.3305	-4.264021	-1.40940565	183.23	LINC02747	long intergenic non-protein coding RNA 2747
2113	3.09e-03	1.99e-05	0.2552	4.2659503	1.08859133	1258.97	ETS1	ETS proto-oncogene 1, transcription factor
3775	3.12e-03	2.07e-05	0.1369	4.2567954	0.5825711	2911.07	KCNK1	potassium two pore domain channel subfamily K member 1
51762	3.12e-03	2.07e-05	0.1986	4.2574705	0.84570373	1290.38	RAB8B	RAB8B, member RAS oncogene family
57460	3.20e-03	2.15e-05	0.2645	4.2491198	1.12410378	775.87	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H
122953	3.26e-03	2.20e-05	0.1563	-4.2432557	-0.66309621	638.08	JDP2	Jun dimerization protein 2
64283	3.27e-03	2.23e-05	0.2244	4.2403143	0.95150944	487.28	ARHGEF28	Rho guanine nucleotide exchange factor 28
409	3.41e-03	2.35e-05	0.2237	-4.2289394	-0.94589682	633.62	ARRB2	arrestin beta 2
113730	3.45e-03	2.40e-05	0.5733	4.2238344	2.42171899	198.01	KLHDC7B	kelch domain containing 7B
10062	3.50e-03	2.46e-05	0.2152	-4.2183661	-0.9076299	563.08	NR1H3	nuclear receptor subfamily 1 group H member 3
9069	3.56e-03	2.54e-05	0.1301	4.2108712	0.54788425	3786.83	CLDN12	claudin 12
140686	3.56e-03	2.53e-05	0.37	4.2119564	1.55860133	52.33	WFDC3	WAP four-disulfide core domain 3
7124	3.57e-03	2.57e-05	0.4238	4.2081384	1.78348266	354.96	TNF	tumor necrosis factor
4507	3.58e-03	2.61e-05	0.1693	4.2053293	0.7121257	1093.51	MTAP	methylthioadenosine phosphorylase
93973	3.75e-03	2.75e-05	0.2629	4.1928369	1.10212655	1421.68	ACTR8	actin related protein 8
1908	3.83e-03	2.84e-05	0.2796	-4.1860278	-1.17054511	205.34	EDN3	endothelin 3
4233	4.60e-03	3.44e-05	0.1455	4.1421724	0.60283277	3801.99	MET	MET proto-oncogene, receptor tyrosine kinase
8710	4.76e-03	3.59e-05	0.7205	4.1322622	2.9772112	117.45	SERPINB7	serpin family B member 7
10607	4.81e-03	3.66e-05	0.2103	4.1279322	0.86828697	2647.17	TBL3	transducin beta like 3
3795	5.13e-03	3.97e-05	0.4654	-4.109375	-1.91263207	248.53	KHK	ketohexokinase
58515	5.13e-03	3.95e-05	0.1405	4.1106089	0.57758777	848.39	SELENOK	selenoprotein K
11182	5.42e-03	4.25e-05	0.2945	4.093652	1.20538485	1114.71	SLC2A6	solute carrier family 2 member 6
100873989	5.42e-03	4.26e-05	0.8648	4.0927796	3.53943728	11.26	GRM5-AS1	GRM5 antisense RNA 1
3716	5.44e-03	4.34e-05	0.1194	4.0883433	0.48799458	4466.29	JAK1	Janus kinase 1
7407	5.44e-03	4.35e-05	0.1022	-4.0881955	-0.41781063	1908.6	VARS1	valyl-tRNA synthetase 1
7185	5.54e-03	4.47e-05	0.3727	4.081951	1.52140378	471.17	TRAF1	TNF receptor associated factor 1
7321	5.72e-03	4.64e-05	0.1256	4.07297	0.51141269	587.22	UBE2D1	ubiquitin conjugating enzyme E2 D1
100126791	6.07e-03	4.97e-05	0.4773	4.0571937	1.93657773	80.91	EGOT	eosinophil granule ontogeny transcript
1029	6.08e-03	5.02e-05	0.2698	4.0548004	1.09413062	1860.73	CDKN2A	cyclin dependent kinase inhibitor 2A
8082	6.16e-03	5.12e-05	0.1977	4.0501059	0.8008938	426.38	SSPN	sarcospan
5653	6.21e-03	5.20e-05	0.3888	-4.0464664	-1.57320577	1245	KLK6	kallikrein related peptidase 6
8837	6.49e-03	5.48e-05	0.1464	4.034103	0.59039974	7949.57	CFLAR	CASP8 and FADD like apoptosis regulator
105372442	6.64e-03	5.65e-05	0.3937	-4.0270086	-1.58542602	206.52	LOC105372442	uncharacterized LOC105372442
219743	6.92e-03	5.96e-05	0.1519	-4.0145792	-0.6096255	591.04	TYSND1	trypsin like peroxisomal matrix peptidase 1
10595	6.92e-03	5.97e-05	0.1283	-4.0138221	-0.5148651	3290.75	ERN2	endoplasmic reticulum to nucleus signaling 2
114897	6.93e-03	6.03e-05	0.2418	-4.011706	-0.96999987	131.13	C1QTNF1	C1q and TNF related 1
100526694	7.04e-03	6.17e-05	0.3182	4.0061361	1.27456708	114.89	MSANTD3-TMEFF1	MSANTD3-TMEFF1 readthrough
115004	7.83e-03	6.91e-05	0.2825	3.9794033	1.12419582	82.81	CGAS	cyclic GMP-AMP synthase
3627	8.22e-03	7.33e-05	0.4003	3.9653516	1.58749074	45.91	CXCL10	C-X-C motif chemokine ligand 10
2706	8.22e-03	7.36e-05	0.1982	3.9642213	0.78560545	2118.82	GJB2	gap junction protein beta 2
9435	8.27e-03	7.46e-05	0.4264	3.9610258	1.68913023	1773.57	CHST2	carbohydrate sulfotransferase 2
23657	8.77e-03	7.96e-05	0.2401	3.9454663	0.94729165	652.77	SLC7A11	solute carrier family 7 member 11
25976	8.91e-03	8.15e-05	0.139	3.939952	0.54754103	1013.88	TIPARP	TCDD inducible poly(ADP-ribose) polymerase
57514	9.03e-03	8.32e-05	0.6132	3.9350268	2.41315343	22.58	ARHGAP31	Rho GTPase activating protein 31
100422894	9.22e-03	8.55e-05	0.1677	3.9283508	0.6587292	931.99	MIR4260	microRNA 4260
55332	9.44e-03	8.82e-05	0.2396	3.9209204	0.93961392	342.61	DRAM1	DNA damage regulated autophagy modulator 1
10512	9.51e-03	8.95e-05	0.2599	3.917536	1.01814243	2219.48	SEMA3C	semaphorin 3C
135112	9.59e-03	9.08e-05	0.1973	3.9138372	0.7721004	2827.2	NCOA7	nuclear receptor coactivator 7
8928	9.82e-03	9.36e-05	0.2474	-3.9065866	-0.96651204	88.68	FOXH1	forkhead box H1
22977	1.03e-02	9.94e-05	0.3174	-3.8920405	-1.23552392	1067.24	AKR7A3	aldo-keto reductase family 7 member A3
6373	1.03e-02	9.88e-05	0.3767	3.893486	1.4665748	1483.94	CXCL11	C-X-C motif chemokine ligand 11
9121	1.04e-02	1.01e-04	0.2261	-3.8882449	-0.87910673	3539.86	SLC16A5	solute carrier family 16 member 5
105377663	1.04e-02	1.03e-04	0.3645	3.8841338	1.41558311	27.21	LOC105377663	uncharacterized LOC105377663
7046	1.04e-02	1.02e-04	0.2196	3.8848277	0.85323431	481.97	TGFBR1	transforming growth factor beta receptor 1
113220	1.09e-02	1.09e-04	0.2382	-3.8697581	-0.92180866	202.79	KIF12	kinesin family member 12
653808	1.09e-02	1.09e-04	0.6061	-3.8698499	-2.34562271	38.23	ZG16	zymogen granule protein 16
27177	1.11e-02	1.11e-04	0.6449	3.8645164	2.49217373	25.4	IL36B	interleukin 36 beta
255738	1.15e-02	1.17e-04	0.3887	-3.8520739	-1.49720931	571.82	PCSK9	proprotein convertase subtilisin/kexin type 9
112267958	1.15e-02	1.18e-04	0.2261	-3.8498331	-0.87050836	192.23	KLC4-AS1	KLC4 antisense RNA 1
10280	1.15e-02	1.17e-04	0.1204	-3.851316	-0.46378233	1375.47	SIGMAR1	sigma non-opioid intracellular receptor 1
90990	1.17e-02	1.20e-04	0.3106	-3.8458651	-1.19470742	844.77	KIFC2	kinesin family member C2
1499	1.31e-02	1.36e-04	0.1302	3.8147282	0.49677978	19373.35	CTNNB1	catenin beta 1
9050	1.35e-02	1.41e-04	0.3391	3.8065375	1.29065371	400.47	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
56996	1.39e-02	1.47e-04	0.1812	-3.7968834	-0.68795211	950.32	SLC12A9	solute carrier family 12 member 9
10659	1.39e-02	1.46e-04	0.203	3.7974652	0.77075154	459.96	CELF2	CUGBP Elav-like family member 2
7328	1.41e-02	1.51e-04	0.0897	3.7896407	0.34010702	4327.65	UBE2H	ubiquitin conjugating enzyme E2 H
8519	1.41e-02	1.50e-04	0.2541	-3.7907263	-0.96311775	204.9	IFITM1	interferon induced transmembrane protein 1
63924	1.42e-02	1.53e-04	0.2835	-3.7868489	-1.07346932	1244	CIDEC	cell death inducing DFFA like effector c
107986959	1.42e-02	1.54e-04	0.2804	3.7846986	1.06138794	124.44	LOC107986959	
51450	1.42e-02	1.55e-04	0.6478	3.7822461	2.45020416	19.64	PRRX2	paired related homeobox 2
8742	1.42e-02	1.55e-04	0.3853	-3.7822401	-1.45711548	27.51	TNFSF12	TNF superfamily member 12
57478	1.46e-02	1.61e-04	0.1749	3.7738824	0.65987769	506.88	USP31	ubiquitin specific peptidase 31
201255	1.48e-02	1.64e-04	0.2018	-3.768649	-0.76037407	277.46	LRRC45	leucine rich repeat containing 45
4940	1.50e-02	1.67e-04	0.2508	3.7647893	0.94413384	2726.41	OAS3	2'-5'-oligoadenylate synthetase 3
112268127	1.53e-02	1.71e-04	0.7862	3.7582603	2.95463852	10.68	LOC112268127	uncharacterized LOC112268127
80714	1.59e-02	1.79e-04	0.3526	3.7468246	1.32125085	213.1	PBX4	PBX homeobox 4
7296	1.60e-02	1.81e-04	0.2887	3.7435372	1.08081105	11675.02	TXNRD1	thioredoxin reductase 1
79768	1.61e-02	1.84e-04	0.1233	3.7406898	0.46115114	369.42	KATNBL1	katanin regulatory subunit B1 like 1
330	1.61e-02	1.85e-04	0.3406	3.7385965	1.27353613	13848.31	BIRC3	baculoviral IAP repeat containing 3
3572	1.71e-02	1.99e-04	0.204	3.7205923	0.75899946	2352.83	IL6ST	interleukin 6 cytokine family signal transducer
7127	1.71e-02	1.98e-04	0.3902	3.7212459	1.45203801	16879.66	TNFAIP2	TNF alpha induced protein 2
10211	1.76e-02	2.05e-04	0.173	-3.7121634	-0.64238977	2092.62	FLOT1	flotillin 1
8795	1.76e-02	2.06e-04	0.1408	3.7116684	0.52272359	5515.8	TNFRSF10B	TNF receptor superfamily member 10b
107986136	1.77e-02	2.08e-04	0.2142	3.7085904	0.79427093	240.22	IL20RB-AS1	IL20RB antisense RNA 1
78999	1.78e-02	2.12e-04	0.2334	-3.7041993	-0.86470135	500.14	LRFN4	leucine rich repeat and fibronectin type III domain containing 4
4323	1.78e-02	2.13e-04	0.1405	3.7032315	0.52026985	7149.48	MMP14	matrix metallopeptidase 14
23508	1.78e-02	2.13e-04	0.211	3.7036405	0.7815572	1658.91	TTC9	tetratricopeptide repeat domain 9
7126	1.82e-02	2.20e-04	0.1184	3.6952389	0.43769655	2101.33	TNFAIP1	TNF alpha induced protein 1
101927811	1.83e-02	2.22e-04	0.2691	3.6922807	0.99347789	205.09	ITGB8-AS1	ITGB8 antisense RNA 1
22859	1.83e-02	2.23e-04	0.2016	-3.6912093	-0.74418268	1386.59	ADGRL1	adhesion G protein-coupled receptor L1
9663	1.83e-02	2.25e-04	0.1462	3.6896741	0.539371	3932.72	LPIN2	lipin 2
27161	1.86e-02	2.29e-04	0.1154	3.6850067	0.42535523	1939.88	AGO2	argonaute RISC catalytic component 2
3816	1.94e-02	2.40e-04	0.6358	-3.6722104	-2.33478567	692.98	KLK1	kallikrein 1
6720	2.01e-02	2.50e-04	0.2176	-3.6627551	-0.79688392	4581.57	SREBF1	sterol regulatory element binding transcription factor 1
64327	2.05e-02	2.56e-04	0.1154	3.6557556	0.42170082	1045.19	LMBR1	limb development membrane protein 1
8829	2.06e-02	2.59e-04	0.1601	-3.6529726	-0.58500793	396.08	NRP1	neuropilin 1
1992	2.06e-02	2.61e-04	0.1397	3.6515331	0.5099531	10407.08	SERPINB1	serpin family B member 1
55540	2.09e-02	2.66e-04	0.4316	3.6468203	1.57399307	2023.94	IL17RB	interleukin 17 receptor B
340654	2.10e-02	2.68e-04	0.2874	3.6440852	1.04736218	76.1	LIPM	lipase family member M
8864	2.12e-02	2.72e-04	0.1549	-3.6408284	-0.56406527	518.42	PER2	period circadian regulator 2
54976	2.12e-02	2.73e-04	0.2169	-3.6395657	-0.7893973	193.41	C20orf27	chromosome 20 open reading frame 27
733	2.16e-02	2.80e-04	0.336	-3.633121	-1.22058056	254.02	C8G	complement C8 gamma chain
101928477	2.24e-02	2.91e-04	0.4516	3.6230365	1.63631157	40.82	MMP20-AS1	MMP20 antisense RNA 1
1890	2.26e-02	2.96e-04	0.3089	3.6185592	1.11773559	5077.26	TYMP	thymidine phosphorylase
3694	2.36e-02	3.10e-04	0.2493	3.6069667	0.89922108	2531.94	ITGB6	integrin subunit beta 6
1906	2.36e-02	3.12e-04	0.1538	3.6051232	0.55432636	2192.24	EDN1	endothelin 1
9662	2.42e-02	3.22e-04	0.1889	3.5969973	0.67963544	186.96	CEP135	centrosomal protein 135
1468	2.42e-02	3.23e-04	0.2086	-3.5957806	-0.74997275	2774.35	SLC25A10	solute carrier family 25 member 10
9683	2.45e-02	3.28e-04	0.1579	3.5921231	0.56736031	1950.09	N4BP1	NEDD4 binding protein 1
84152	2.45e-02	3.30e-04	0.1736	-3.5904634	-0.62337459	5123.82	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B
896	2.47e-02	3.36e-04	0.2118	-3.5854583	-0.75932206	2651.92	CCND3	cyclin D3
6376	2.47e-02	3.36e-04	0.5835	3.5861148	2.0925809	1742.58	CX3CL1	C-X3-C motif chemokine ligand 1
2261	2.48e-02	3.39e-04	0.2897	-3.5837917	-1.0381184	1889.62	FGFR3	fibroblast growth factor receptor 3
10116	2.49e-02	3.42e-04	0.1575	3.5812162	0.56393746	2032.22	FEM1B	fem-1 homolog B
118932	2.54e-02	3.50e-04	0.2501	3.5751216	0.89410551	654.32	ANKRD22	ankyrin repeat domain 22
100419583	2.57e-02	3.56e-04	0.2719	3.5703684	0.97070289	594.3	LOC100419583	ring finger protein 4 pseudogene
2053	2.60e-02	3.62e-04	0.2096	-3.5662837	-0.74738022	1713.12	EPHX2	epoxide hydrolase 2
84687	2.60e-02	3.64e-04	0.1519	-3.5650253	-0.54159343	1573.62	PPP1R9B	protein phosphatase 1 regulatory subunit 9B
10158	2.64e-02	3.72e-04	0.3003	3.5588905	1.06858853	1958.6	PDZK1IP1	PDZK1 interacting protein 1
4001	2.64e-02	3.71e-04	0.3549	-3.559869	-1.26334845	184.29	LMNB1	lamin B1
1894	2.86e-02	4.07e-04	0.1843	3.5355484	0.65167136	662.67	ECT2	epithelial cell transforming 2
4790	2.86e-02	4.08e-04	0.1505	3.5349774	0.53210679	1863.36	NFKB1	nuclear factor kappa B subunit 1
83986	2.93e-02	4.20e-04	0.164	-3.5273534	-0.57850201	4709.99	FAM234A	family with sequence similarity 234 member A
1154	3.06e-02	4.40e-04	0.2932	-3.5148769	-1.03067468	93.4	CISH	cytokine inducible SH2 containing protein
5164	3.17e-02	4.57e-04	0.2698	-3.5047625	-0.94544118	542.77	PDK2	pyruvate dehydrogenase kinase 2
10669	3.22e-02	4.68e-04	0.4082	-3.4983973	-1.42813275	92.31	CGREF1	cell growth regulator with EF-hand domain 1
4050	3.22e-02	4.69e-04	0.5593	3.4980285	1.95630239	1798.56	LTB	lymphotoxin beta
6382	3.28e-02	4.81e-04	0.1961	-3.4912697	-0.6844939	9559.29	SDC1	syndecan 1
9058	3.28e-02	4.81e-04	0.6887	-3.4909371	-2.40420662	38.34	SLC13A2	solute carrier family 13 member 2
6532	3.33e-02	4.91e-04	0.5334	-3.4853872	-1.85897289	72.46	SLC6A4	solute carrier family 6 member 4
2919	3.37e-02	4.99e-04	0.331	3.4811348	1.15222224	4255.72	CXCL1	C-X-C motif chemokine ligand 1
102723996	3.38e-02	5.03e-04	0.189	3.4792516	0.65772143	1438.52	LOC102723996	ICOS ligand
23043	3.40e-02	5.08e-04	0.1261	-3.4764637	-0.43846587	1371.9	TNIK	TRAF2 and NCK interacting kinase
55236	3.49e-02	5.25e-04	0.1101	3.4678498	0.38176345	1152.47	UBA6	ubiquitin like modifier activating enzyme 6
65998	3.52e-02	5.30e-04	0.2765	-3.4649469	-0.9579924	178.32	ZFTA	zinc finger translocation associated
85414	3.65e-02	5.56e-04	0.2291	-3.4523498	-0.79087542	460.66	SLC45A3	solute carrier family 45 member 3
11138	3.65e-02	5.55e-04	0.1591	3.4529375	0.54942821	1736.39	TBC1D8	TBC1 domain family member 8
